nicu,name,addr,city_state_zip,level,beds,type,contact
32,Allen Memorial Hospital,1825 Logan Ave,"Waterloo, IA 50703",II,10,Employed Group,"Pankaj Nagaraj, MD"
33,Almanance Regional Medical Center,1240 Huffman Mill Road,"Burlington, NC 27215",III,12,Private Practice,"John Wimmer, MD"
34,Alta Bates Summit Medical Center,350 Hawthorne Ave,"Oakland, CA 94609",III,55,Private Practice,"Alex Espinoza, MD"
35,Alta View Hospital,9660 South 1300 East,"Sandy, UT 84094, USA",II,5,,
36,Alton Memorial Hospial,1 Memorial Dr,"Alton, IL 62002",II,,,
37,Altru Hospital,1200 S Columbia Rd,"Grand Forks, ND 58201",III,16,Hospital Employed,"Panda Durga, MD"
38,American Family Children’s,1675 Highland Ave,"Madison, WI 53792",IV,26,Academic Program,"Nina Menda, MD"
39,American Fork Hospital,170 North 1100 East,"American Fork, UT 84003",II,4,Employed Group,"Shaun Odell, MD"
40,Amita Adventist Health Medical Center Bolingbrook,500 Remington Blvd,"Bolingbrook, IL 60440",II,,Private Practice,"Anthony Bell, MD"
41,AMITA Adventist Medical Center LaGrange,5101 Willow Springs Rd,"La Grange, IL 60525",II,,Private Practice,
42,AMITA Health Glen Oaks,701 Winthrop Ave,"Glendale Heights, IL 60139",II,,Network Medical Group,"Ramakrishna Velamati, MD"
43,AMITA Health Mercy Medical Center,1325 N Highland Ave,"Aurora, IL 60506",II,,,
44,AMITA Health Resurrection Medical Center,7435 W Talcott Ave,"Chicago, IL 60631",II,,Network Medical Group,"Ramakrishna Velamati, MD"
45,AMITA Health Saint Joseph Hospital,2900 N Lake Shore Dr.,"Chicago, IL 60657",III,20,Network Medical Group,"Ramakrishna Velamati, MD"
46,AMITA Health Saints Mary and Elizabeth Medical Center,1431 N Claremont Ave,"Chicago, IL 60622",II,,Network Medical Group,"Ramakrishna Velamati, MD"
47,AMITA Health St. Joseph Medical Center,333 Madison St,"Joliet, IL 60435",II,,Private Practice,
48,Ana Jaques Hospital,25 Highland Ave,"Newburyport, MA 01950",II,,Employed Group,"Marianne Anderson, MD"
49,Anaheim Regional Medical Center,1111 W La Palma Ave,"Anaheim, CA 92801",III,11,,
50,Anderson Hospital,6800 State Route 162,"Maryville, IL 62062",II,,,
51,Anderson Regional Medical Center,2124 14th St,"Meridian, MS 39301",III,10,Private Practice,"Roland Boyd, DO"
52,AnMed Health Women’s and Children’s Hospital,2000 E Greenville St,"Anderson, SC 29621",II,,,
53,Anne Arundel Medical Center,"2001 Medical Pkwy,","Annapolis, MD 21401",III,30,Private Practice,"Suzanne Rindfleisch, DO"
54,Antelope Valley Hospital Medical Center,1600 W Ave J,"Lancaster, CA 93534",III,21,,"Murugesa Thangavel, MD"
55,Arkansas Children’s Hospital,1 Children's Way,"Little Rock, Arkansas 72202",IV,104,Academic Program,"Ashley Ross, MD"
56,Arnot Ogden Medical Center,600 Roe Ave,"Elmira, NY 14905",III,20,Private Practice,
57,Arrowhead Regional Medical Center,400 N Pepper Ave,"Colton, CA 92324",III,30,,
58,Ascension All Saints Hospital,3801 Spring St.,"Racine, WI 53405, USA",III,18,Academic Program,
59,Ascension Borgess Hospital,"1521 Gull Rd,","Kalamazoo, MI 49048",II,8,,
60,Ascension Genesys Hospital,1 Genesys Pkwy,"Grand Blanc, MI 48439",II,15,Private Practice,
61,Ascension Providence,6901 Medical Pkwy,"Waco, TX 76712",II,20,,
62,Ascension Providence Hospital Novi Campus,47601 Grand River Ave,"Novi, MI 48374",II,6,Network Medical Group,
63,Ascension Providence Hospital Southfield Campus,16001 W Nine Mile Rd,"Southfield, MI 48075",III,15,Network Medical Group,
64,Ascension Seton Hays,6001 Kyle Pkwy,"Kyle, TX 78640",II,,Private Practice,
65,Ascension Seton Northwest,11113 Research Blvd,"Austin, TX 78759",II,,,
66,Ascension St. Elizabeth Hospital,1506 South Oneida St,"Appleton, WI 54915",III,15,Employed Group,
67,Ascension St. John Hospital,22101 Moross Rd,"Detroit, MI 48236",III,32,Hospital Employed,"Ali Rabbani, MD"
68,Ascension St. Joseph Campus,5000 W Chambers St,"Milwaukee, WI 53210",III,52,Employed Group,
69,Ascension Via Christi Manhattan,1823 College Ave,"Manhattan, KS 66502",II,,Employed Group,
70,Ascension Via Christi St. Joseph,3600 E Harry St,"Wichita, KS 67218",III,28,Employed Group,
71,Ashley Regional Medical Center,150 West 100 North,"Vernal, UT 84078",II,4,,
72,Aspirus – Wausau Hospital,333 Pine Ridge Boulevard,"Wausau, WI 54401",III,14,Network Medical Group,"Haresh Modi, MD"
73,Atlanticare Regional Medical Center Mainland Campus,65 W Jimmie Leeds Road,"Pomona, New Jersey 08240",III,22,Academic Program,"Jennifer Tioseco, MD"
74,Atrium Health Pineville,10628 Park Rd,"Charlotte, NC 28210",II,10,Hospital Employed,
75,Atrium Health Union,600 Hospital Dr,"Monroe, NC 28112",II,8,Hospital Employed,
76,Atrium Health University City,8800 N Tryon St,"Charlotte, NC 28262",III,9,Hospital Employed,
77,Aultman Hospital,2600 6th St SW,"Canton, OH 44710",III,25,Private Practice,"Adeyemi Sobowale, MD"
78,Aurora Bay Medical Center,2845 Greenbrier Rd,"Green Bay, WI 54311",III,20,Network Medical Group,
79,Aurora Medical Center Grafton,975 Port Washington Rd,"Grafton, WI 53024",II,,Network Medical Group,
80,Aurora Medical Center Kenosha,10400 75th St,"Kenosha, WI 53142, USA",II,13,Network Medical Group,
81,Aurora Medical Center Summit,36500 Aurora Dr,"Oconomowoc, WI 53066, USA",II,,,
82,Aurora Sheboygan Memorial Medical Center,2629 N 7th St,"Sheboygan, WI 53083",II,,Network Medical Group,
83,Aurora Sinai Medical Center,945 N 12th St,"Milwaukee, WI 53233",III,36,Network Medical Group,
84,Aurora West Allis Medical Center,8901 W Lincoln Ave,"West Allis, WI 53227, USA",III,20,Network Medical Group,
85,Avera McKennan Hospital,1325 S Cliff Ave,"Sioux Falls, SD 57105",III,42,Employed Group,"Katherine Wang, MD"
86,Avista Adventist Hospital,100 Health Park Drive,"Louisville, CO 80027",III,19,Private Practice,"Rossana Chang, MD"
87,Backus Hospital,326 Washington St,"Norwich, CT 06360",II,,Academic Program,
88,Bakersfield Memorial Hospital,420 34th St,"Bakersfield, CA 93301",II,31,,
89,Ball Memorial Hospital,2401 W University Ave,"Muncie, IN 47303",III,21,Academic Program,
90,Banner Casa Grande Medical Center,1800 E Florence Blvd,"Casa Grande, AZ 85122",II,4,Private Practice,"Waseen Altaf, MD"
91,Banner Del E. Webb Medical Center,14502 W Meeker Blvd,"Sun City, AZ 85375",II,10,Private Practice,"Christina Carballo, MD"
92,Banner Desert Medical Center – Cardon Children’s,1400 S Dobson Rd,"Mesa, AZ 85202, USA",III,76,Private Practice,"Pete Stevenson, MD"
93,Banner Estrella Medical Center,9201 W Thomas Rd,"Phoenix, AZ 85037",II,20,Private Practice,"Christina Carballo, MD"
94,Banner Gateway Medical Center,1900 N Higley Way,"Gilbert, AZ 85234",II,8,Private Practice,"Waseen Altaf, MD"
95,Banner Ironwood Medical Center,37000 N Gantzel Rd,"San Tan Valley, AZ 85140",II,6,Private Practice,"Waseen Altaf, MD"
96,Banner Thunderbird Medical Center,5555 W Thunderbird Rd,"Glendale, AZ 85306",III,35,Private Practice,"Amit Agarwal, MD"
97,Banner University Medical Center – Phoenix,1111 E McDowell Rd,"Phoenix, AZ 85006",III,74,Private Practice,"Greg Martin, MD"
98,Banner University Medical Center – Tucson,1625 N Campbell Ave,"Tucson, AZ 85719",III,36,Academic Program,"Mohamed Ahmed, MD"
99,Baptist Easley Hospital,"200 Fleetwood Dr,","Easley, SC 29640",II,4,,
100,Baptist Health Floyd,1850 State St,"New Albany, IN 47150",II,,Academic Program,
101,Baptist Health Fort Smith,1001 Towson Ave,"Fort Smith, AR 72901",II,,,
102,Baptist Health Lexington,1740 Nicholasville Road,"Lexington, KY 40503",III,32,Private Practice,
103,Baptist Health Louisville,4000 Kresge Way,"Louisville, KY 40207",II,8,Academic Program,"Dan Stewart, MD"
104,Baptist Health Madisonville,900 Hospital Drive,"Madisonville, KY 42431",II,12,Private Practice,"Alex Soriano, MD"
105,Baptist Health Medical Center,9601 Baptist Health Dr,"Little Rock, AR 72205",III,65,Private Practice,"Terrance Zuerlein, MD"
106,Baptist Health Paducah,2501 Kentucky Avenue,"Paducah, KY 42003",III,14,Academic Program,
107,Baptist Health South Florida,8900 N Kendall Dr,"Miami, FL 33176",III,36,Private Practice,"Andrew B. Kairalla, MD"
108,Baptist Hospitals of Southeast Texas,3080 College St,"Beaumont, TX 77701",II,6,,
109,Baptist Medical Center,111 Dallas Street,"San Antonio, TX 78205",III,24,Private Practice,
110,Baptist Medical Center – East,400 Taylor Rd,"Montgomery, AL 36117",III,28,Private Practice,"Meyer Dworsky, MD"
111,Baptist Medical Center – South,2105 E South Blvd,"Montgomery, AL 36116",III,40,Private Practice,"Meyer Dworsky, MD"
112,Baptist Medical Center Jacksonville,800 Prudential Dr,"Jacksonville, FL 32207",III,75,Network Medical Group,"Mary Lim, MD"
113,Baptist Medical Center South,14550 Old St Augustine Rd,"Jacksonville, FL 32258",II,14,Academic Program,
114,Baptist Memorial Hospital for Women,6225 Humphreys Blvd,"Memphis, TN 38120",III,40,Private Practice,"James (Chip) Hamlett, MD"
115,Baptist St. Anthony Hospital,1600 Wallace Boulevard,"Amarillo , TX 79106",III,20,Private Practice,
116,Baton Rouge General,8585 Picardy Avenue,"Baton Rouge, LA 70809",III,18,Private Practice,"Steven Spedale, MD"
117,Baxter Regional Medical Center,624 Hospital Dr,"Mountain Home, AR 72653",II,10,,
118,Bayfront Health Spring Hill,10461 Quality Dr,"Spring Hill, FL 34609",II,10,Academic Program,"Victor McKay, MD"
119,Bayfront Health St. Petersburg,701 6th St S,"St. Petersburg, FL 33701",III,,Academic Program,"Victor McKay, MD"
120,Bayhealth Hospital – Kent Campus,640 South State Street,"Dover, Delaware 19901",II,15,Private Practice,"Michael Antunes, MD"
121,Baylor All Saints Hospital,1400 8th Ave,"Fort Worth, TX 76104",III,42,Private Practice,"Susan Sward-Communelli, MD"
122,Baylor Scott & White All Saints Medical Center – Fort Worth,1400 8th Ave,"Fort Worth, TX 76104",III,63,Private Practice,
123,Baylor Scott & White Medical Center – College Station,700 Scott and White Dr,"College Station, TX 77845",III,16,Academic Program,
124,Baylor Scott & White Medical Center – Irving,1901 N MacArthur Blvd,"Irving, TX 75061",II,18,Private Practice,
125,Baylor Scott & White Medical Center – Lake Pointe,6800 Scenic Dr,"Rowlett, TX 75088",II,17,,
126,Baylor Scott & White Medical Center – Lakeway,100 Medical Pkwy,"Lakeway, TX 78738",II,11,,
127,Baylor Scott & White Medical Center Waco,100 Hillcrest Medical Blvd,"Waco, TX 76712",III,30,,
128,Baylor Scott and White Medical Center Centennial,12505 Lebanon Rd,"Frisco, TX 75035",II,12,Private Practice,
129,Baylor Scott and White Medical Center Frisco,5601 Warren Pkwy,"Frisco, TX 75034",II,,Private Practice,"Eduardo Perez, MD"
130,Baylor Scott and White Medical Center Grapevine,1650 W College St,"Grapevine, TX 76051",III,21,Academic Program,
131,Baylor University Medical Center,3500 Gaston Ave,"Dallas, TX 75246",III,83,Private Practice,
132,Baystate Medical Center,759 Chestnut St,"Springfield, MA 01199",III,55,Hospital Employed,"Rachana Singh, MD"
133,Beaufort Memorial Hospital,"955 Ribaut Rd,","Beaufort, SC 29902",II,,,
134,Beaumont Hospital Dearborn,18101 Oakwood Blvd,"Dearborn, MI 48124",III,30,Academic Program,"Derek Bair, MD"
135,Beaumont Hospital Royal Oak,3601 W. Thirteen Mile Rd,"Royal Oak, MI 48073",III,24,Academic Program,
136,Beaumont Hospital Troy,44201 Dequindre Rd,"Troy, MI 48085",II,24,Academic Program,
137,Bellevue Hospital Center,462 1st Avenue,"New York, NY 10016",III,25,Academic Program,"Elena Wachtel, MD"
138,Bellevue Medical Center,2500 Bellevue Medical Center Drive,"Bellevue, NE 68123",II,4,Academic Program,"Ann Anderson Berry, MD"
139,Bellin Hospital,744 S Webster Ave,"Green Bay, WI 54301, USA",II,,Network Medical Group,
140,Ben Taub Hospital,1504 Ben Taub Loop,"Houston, TX 77030",III,20,Academic Program,"Joseph Garcia-Prats, MD"
141,Benefis Regional Medical Center,1101 26th St South,Great Falls 59405,III,26,Hospital Employed,
142,Bergan Mercy Medical Center,7500 Mercy Rd,"Omaha, NE 68124",III,36,Academic Program,"Terence Zach, MD"
143,Berkley Medical Center,"2500 Hospital Dr,","Martinsburg, WV 25401",III,12,Academic Program,"Pete Yossuck, MD"
144,Beth Israel Deaconess Medical Center,330 Brookline Ave,"Boston, MA 02215",III,48,Employed Group,"DeWayne Pursley, MD"
145,Beth Israel Deaconess Plymouth,275 Sandwich St,"Plymouth, MA 02360",II,6,Academic Program,"Barbara Shephard, MD"
146,Bethesda Hospital East,2815 S Seacrest Blvd,"Boynton Beach, FL 33435",III,15,Private Practice,
147,Bethesda North Hospital,10500 Montgomery Rd,"Cincinnati, OH 45242",II,12,Academic Program,"Scott Wexelblatt, MD"
148,Beverly Hospital,85 Herrick St,"Beverly, MA 01915",II,12,Academic Program,"Ivana Culic, MD"
149,Billings Clinic,801 N. 29th St,Billings MT 59101,III,19,Hospital Employed,"Fermin Blanco, MD"
150,Blank Children’s Hospital,1200 Pleasant St,"Des Moines, IA 50309",III,44,Employed Group,"Samir Alabsi, MD"
151,Blessing Hospital,1005 Broadway St,"Quincy, IL 62301",II,,,
152,Boca Raton Regional Hospital,800 Meadows Rd,"Boca Raton, FL 33486",II,,Private Practice,
153,Boone Hospital Center,1600 E Broadway,"Columbia, MO 65201",III,21,Private Practice,"Timothy O’Connor, MD"
154,Boston Children’s Hospital,300 Longwood Avenue,"Boston, MA 02115",III,24,Academic Program,"Anne Hansen, MD"
155,Boston Medical Center,1 Boston Medical Center Place,"Boston, MA 02118",III,15,Academic Program,"Vincent Smith, MD"
156,Boulder Community Hospital,4747 Arapahoe Ave.,"Boulder, CO 80303",II,18,Academic Program,"Adam Rosenberg, MD"
157,Bozeman Health Deaconess Hospital,915 Highland Blvd,Bozeman MT 59715,II,4,Employed Group,"Dianne Warner, MD"
158,Brandon Regional Hospital,119 Oakfield Dr,"Brandon, FL 33511",III,22,Academic Program,"Victor McKay, MD"
159,Brenner Children’s Hospital,Medical Center Blvd,"Winston-Salem, NC 27157",IV,79,Academic Program,"Jennifer Helderman, MD"
160,Bridgeport Hospital,267 Grant St,"Bridgeport, CT 06610",III,20,Academic Program,"Eliza Meyers, MD"
161,Brigham and Women’s Hospital,75 Francis St,"Boston, MA 02115",III,48,Academic Program,"Terri Gorman, MD"
162,Brigham City Community Hospital,950 Medical Drive,"Brigham City, UT 84302",II,10,,
163,Brockton Hospital,680 Centre St,"Brockton, MA 02302",II,,Academic Program,"H. Ozlem Kasaroglu, MD"
164,Bronson Methodist Hospital,601 John St,"Kalamazoo, MI 49007",III,45,Academic Program,"Robin Pierucci, MD"
165,BronxCare Hospital Center,1650 Grand Concourse,"Bronx, NY 10457",III,40,Academic Program,"Jing Ja Yoon, MD"
166,Brookdale Hospital Medical Center,1 Brookdale Plaza,"Brooklyn, NY 11212",III,30,Academic Program,"Roger Kim, MD"
167,Brooklyn Hospital Center,121 DeKalb Avenue,"Brooklyn, NY 11201",III,28,Academic Program,"Patrick Leblanc, MD"
168,Brookwood Baptist Medical Center,2010 Brookwood Medical Center Dr,"Birmingham, AL 35209",III,,Private Practice,
169,Broward Health Coral Springs,3000 Coral Hills Dr,"Coral Springs, FL 33065",II,10,Private Practice,"Arlene Boykin, MD"
170,Broward Health Medical Center,1600 S Andrews Ave,"Fort Lauderdale, FL 33316, USA",III,63,Private Practice,"Johny Tryzmel, MD"
171,Brownwood Regional Medical Center,1501 Burnett Rd,"Brownwood, TX 76801",II,,,
172,Bryan Medical Center East Campus,1600 S 48th St,"Lincoln, NE 68506",III,25,Private Practice,
173,Bryn Mawr Hospital,130 S Bryn Mawr Ave,"Bryn Mawr, PA 19010",III,21,Network Medical Group,
174,Cabell Huntington Hospital,1340 Hal Greer Boulevard,"Huntington, WV 25701",III,36,Academic Program,"Balaji Govindaswami, MD"
175,California Hospital Medical Center,1401 S Grand Ave,"Los Angeles, CA 90015",III,26,,
176,California Pacific Medical Center,3700 California St,"San Francisco, CA 94118",III,36,Private Practice,
177,Campbell County Health – Gillette,501 S.  South Burma Ave.,"Gillette, WY 82716",II,7,,"Judy Boyle, MD"
178,Cape Coral Hospital,636 Del Prado Blvd S,"Cape Coral, FL 33990",II,10,Private Practice,
179,Cape Fear Valley Medical Center,1638 Owen Dr,"Fayetteville, NC 28304",III,44,Private Practice,"Keith Gallaher, MD"
180,Capital Health Medical Center,"1 Capital Way,","Pennington, NJ 08534",III,12,Private Practice,"Randi Axelrod, MD"
181,Capital Regional Medical Center,2626 Capital Medical Blvd,"Tallahassee, FL 32308",II,10,Private Practice,
182,Carilion Roanoke Memorial Hospital,1906 Belleview Ave SE,"Roanoke, VA 24014",III,60,Private Practice,"Hirenkumar Patel, MD"
183,Carle Foundation Hospital,611 W Park St,"Urbana, IL 61801",III,48,,
184,Carolinas Blue Ridge,2201 South Sterling Street,"Morganton, NC 28655",II,4,Private Practice,"James Pascale, MD"
185,CaroMont Regional Medical Center,525 Court Dr,"Gastonia, NC 28054",III,16,Private Practice,"Kevin Coppage, MD"
186,Carondelet St. Joseph’s Hospital – Tucson,350 N. Wilmot Road,"Tucson, AZ 85711",II,30,Private Practice,"Dariush Mehrabani-Zardoshti, MD"
187,Carroll Hospital,"200 Memorial Ave,","Westminster, MD 21157",II,,Private Practice,"Cynthia Roldan, M.D"
188,Castle Rock Adventist,2352 Meadows Blvd,"Castle Rock, Colorado 80109",II,4,Private Practice,"Karen Zarlengo, MD"
189,Catawaba Valley Medical Center,810 Fairgrove Church Rd SE,"Hickory, NC 28602",III,20,Private Practice,"Samuel Wellman, MD"
190,Catholic Medical Center,100 McGregor St,"Manchester, NH 03102",II,10,Academic Program,"Steven Ringer, MD"
191,Cedar Park Regional Medical Center,1401 Medical Pkwy,"Cedar Park, TX 78613",II,8,Private Practice,
192,Cedar Sinai Medical Center,8700 Beverly Blvd,"Los Angeles, CA 90048",IV,45,Private Practice,"Charles Simmons, MD"
193,Centegra McHenry Hospital,4201 Medical Center Drive,"McHenry, IL 60050",II,,Private Practice,
194,Centennial Hills Medical Center,6900 N Durango Dr,"Las Vegas, NV 89149",III,18,Private Practice,"Philip Vaughn, MD"
195,Centerpoint Medical Center,19600 East 39th St S,"Independence, MO 64057",III,12,Private Practice,"Tiffany Simpson, MD"
196,Centinela Hospital Medical Center,555 E Hardy St,"Inglewood, CA 90301",II,9,,
197,Central Maine Medical Center,10 High St,"Lewiston, ME 04240, USA",II,,,
198,Central Washington Hospital & Clinics,"1201 S Miller St,","Wenatchee, WA 98801",II,,,
199,CentraState Medical Center,901 West Main Street,"Freehold, NJ 07728",II,,Employed Group,
200,Centura Health Longmont United,1950 Mountain View Ave,"Longmont, Colorado 80501",III,6,Academic Program,"Annie Hall, MD"
201,Centura Health Parker Adventist Hospital,9395  Crown Crest Blvd,"Parker, CO 80138",III,12,Academic Program,"Danielle Smith, MD"
202,Centura Health Penrose St. Francis,6001 E Woodman Rd,"Colorado Springs, Colorado 80923",III,54,Private Practice,"Bridget Buzzella, MD"
203,Chambersburg Hospital,112 N 7th St,"Chambersburg, PA 17201",II,9,Employed Group,
204,Chandler Regional Medical Center,1955 W Frye Rd,"Chandler, AZ 85224",II,35,Private Practice,"James Zozobrado, MD"
205,Charleston Area Medical Center,800 Pennsylvania Ave,"Charleston, WV 25302",IV,26,Private Practice,
206,Charlton Memorial Hospital,363 Highland Ave,"Fall River, MA 02720, USA",II,,Academic Program,"Daphne Remy, MD"
207,Chester County Hospital,701 E Marshall St,"West Chester, PA 19380",III,15,Academic Program,"Carol Anderson, MD"
208,Cheyenne Regional,214 E 23rd St Cheyenne,"Cheyenne, WY 82001",II,,,
209,CHI – St. Alexis Health,900 E Broadway Ave,"Bismarck, ND 58501",III,24,Hospital Employed,
210,CHI Good Samaritan,10 E 31st St,"Kearney, NE 68847",II,9,,
211,CHI Health Lakeside Hospital,16901 Lakeside Hills Ct,"Omaha, NE 68130",II,7,Academic Program,"Terence Zach, MD"
212,CHI Saint Joseph East,170 N Eagle Creek Dr,"Lexington, KY 40509",III,16,Private Practice,"Khaldon Jundi, MD"
213,CHI St. Elizabeth,555 S 70th St,"Lincoln, NE 68510",III,30,Private Practice,"BJ Wilson, MD"
214,CHI St. Francis,2620 W Faidley Ave,"Grand Island, NE 68803",II,9,,
215,CHI St. Luke’s  Health – The Woodlands Hospital,17200 St. Luke's Way,"The Woodlands, TX 77384",II,,Academic Program,
216,CHI St. Luke’s Health – Sugar Land Hospital,1317 Lake Pointe Pkwy,"Sugar Land, TX 77478",II,,Academic Program,
217,CHI St. Luke’s Health Memorial,1201 W Frank Ave,"Lufkin, TX 75904",II,8,Academic Program,
218,CHI St. Vincent Hot Springs,300 Werner St,"Hot Springs, AR 71913",II,,,
219,Children’s Healthcare of Atlanta – Egleston Hospital,1405 Clifton Rd.,"Atlanta, GA 30322",IV,80,Academic Program,"Anthony Piazza, MD"
220,Children’s Hospital & Medical Center,8200 Dodge St,"Omaha, NE 68114",IV,40,Academic Program,"Nicole Birge, MD"
221,Children’s Hospital at Erlanger,910 Blackford St.,"Chattanooga, TN 37403",IV,58,Academic Program,"Anuj Sinha, DO"
222,Children’s Hospital Oakland,1975 4th St,"San Francisco, CA 94158",IV,50,Academic Program,"Thomas Shimotake, MD"
223,Children’s Hospital of Colorado,13123 E 16th Ave,"Aurora, CO 80045, USA",IV,84,Academic Program,"Theresa Grover, MD"
224,Children’s Hospital of Colorado – Colorado Springs,4090 Briargate Pkwy,"Colorado Springs, CO 80920",III,50,Private Practice,"Robert Kiley, MD"
225,Children’s Hospital of Georgia,1446 Harper St,"Augusta, GA 30912",IV,42,Academic Program,"Amy Thompson, MD"
226,Children’s Hospital of Los Angeles,4650 Sunset Blvd,"Los Angeles, CA 90027",IV,58,Academic Program,"Rachel Chapman, MD"
227,Children’s Hospital of Michigan,3901 Beaubien Street,"Detroit, MI 48201",IV,40,Academic Program,"Girija Natarajan, MD"
228,Children’s Hospital of Nevada,1800 W Charleston Blvd,Las Vegas NV 89102,III,24,Academic Program,
229,Children’s Hospital of New Orleans,200 Henry Clay Ave,"New Orleans, LA 70118",IV,34,Academic Program,"Brian Barkemeyer, MD"
230,Children’s Hospital of Orange County,1201 W La Veta Ave,"Orange, CA 92868",IV,104,Private Practice,"Vijay Dhar, MD"
231,Children’s Hospital of Philadelphia,3401 Civic Center Blvd,"Philadelphia, PA 19104",IV,95,Academic Program,"David Munson, MD"
232,Children’s Hospital of Richmond at VCU,1000 East Broad Street,"Richmond,VA 23219",IV,40,Academic Program,"Russell Moores, MD"
233,Children’s Hospital of San Antonio,333 N Santa Rosa St,"San Antonio, TX 78207",IV,60,Private Practice,"Maria Pierce, MD"
234,Children’s Hospital of The King’s Daughters,601 Children's Ln,"Norfolk, VA 23507",IV,64,Employed Group,"Jamil Khan, MD"
235,Children’s Hospital of Wisconsin – Fox Valley,130 Second St,"Neenah, WI 54956",III,22,Academic Program,"Michael Holkensen, MD"
236,Children’s Hospital of Wisconsin – Milwaukee,8915 W Connell Ct,"Milwaukee, WI 53226, USA",IV,70,Academic Program,"Michael Uhing, MD"
237,Children’s Medical Center of Dallas,1935 Medical District Dr,"Dallas, TX 75235",IV,47,Academic Program,"Rashmin Savani, MD"
238,Children’s Mercy Hospital,2401 Gillham Rd,"Kansas City, MO 64108",IV,84,Academic Program,"Eugenia Pallotto, MD"
239,Children’s Minnesota – Minneapolis,2525 Chicago Ave.,"Minneapolis, MN 55404",IV,118,Hospital Employed,"Thomas George, MD"
240,Children’s Minnesota – St. Paul,345 Smith Ave N,"St Paul, MN 55102",III,62,Hospital Employed,"Jill Therien, MD"
241,Children’s National,111 Michigan Ave NW,"Washington, DC 20010",IV,54,Academic Program,"Lamia Soghier, MD"
242,Children’s of Alabama,1600 7th Ave S,"Birmingham, AL 35233",IV,48,Academic Program,"Carl Coghill, MD"
