nicu,name,full_address,addr,city_state_zip,level,beds,type,contact,latitude,longitude
88,Bakersfield Memorial Hospital,"420 34th St Bakersfield, CA 93301",420 34th St,"Bakersfield, CA 93301",II,31,NA,NA,35.39048004700004,-119.00654404299996
89,Ball Memorial Hospital,"2401 W University Ave Muncie, IN 47303",2401 W University Ave,"Muncie, IN 47303",III,21,Academic Program,NA,40.19760023300006,-85.41417338099996
90,Banner Casa Grande Medical Center,"1800 E Florence Blvd Casa Grande, AZ 85122",1800 E Florence Blvd,"Casa Grande, AZ 85122",II,4,Private Practice,"Waseen Altaf, MD",32.87959499700003,-111.70810955399998
91,Banner Del E. Webb Medical Center,"14502 W Meeker Blvd Sun City, AZ 85375",14502 W Meeker Blvd,"Sun City, AZ 85375",II,10,Private Practice,"Christina Carballo, MD",33.65847001800006,-112.37149651099998
92,Banner Desert Medical Center – Cardon Children’s,"1400 S Dobson Rd Mesa, AZ 85202, USA",1400 S Dobson Rd,"Mesa, AZ 85202, USA",III,76,Private Practice,"Pete Stevenson, MD",33.38917340300003,-111.87466072599995
93,Banner Estrella Medical Center,"9201 W Thomas Rd Phoenix, AZ 85037",9201 W Thomas Rd,"Phoenix, AZ 85037",II,20,Private Practice,"Christina Carballo, MD",NA,NA
94,Banner Gateway Medical Center,"1900 N Higley Way Gilbert, AZ 85234",1900 N Higley Way,"Gilbert, AZ 85234",II,8,Private Practice,"Waseen Altaf, MD",NA,NA
95,Banner Ironwood Medical Center,"37000 N Gantzel Rd San Tan Valley, AZ 85140",37000 N Gantzel Rd,"San Tan Valley, AZ 85140",II,6,Private Practice,"Waseen Altaf, MD",NA,NA
96,Banner Thunderbird Medical Center,"5555 W Thunderbird Rd Glendale, AZ 85306",5555 W Thunderbird Rd,"Glendale, AZ 85306",III,35,Private Practice,"Amit Agarwal, MD",33.610747307000054,-112.18045159299999
97,Banner University Medical Center – Phoenix,"1111 E McDowell Rd Phoenix, AZ 85006",1111 E McDowell Rd,"Phoenix, AZ 85006",III,74,Private Practice,"Greg Martin, MD",33.465706425000064,-112.05946945199997
98,Banner University Medical Center – Tucson,"1625 N Campbell Ave Tucson, AZ 85719",1625 N Campbell Ave,"Tucson, AZ 85719",III,36,Academic Program,"Mohamed Ahmed, MD",32.24195971200004,-110.94400311299995
99,Baptist Easley Hospital,"200 Fleetwood Dr, Easley, SC 29640","200 Fleetwood Dr,","Easley, SC 29640",II,4,NA,NA,34.84021256900007,-82.60588597299994
100,Baptist Health Floyd,"1850 State St New Albany, IN 47150",1850 State St,"New Albany, IN 47150",II,NA,Academic Program,NA,38.300297353000076,-85.83484685699995
101,Baptist Health Fort Smith,"1001 Towson Ave Fort Smith, AR 72901",1001 Towson Ave,"Fort Smith, AR 72901",II,NA,NA,NA,35.37497856300007,-94.42130590999994
102,Baptist Health Lexington,"1740 Nicholasville Road Lexington, KY 40503",1740 Nicholasville Road,"Lexington, KY 40503",III,32,Private Practice,NA,38.01923693500004,-84.51377451599996
103,Baptist Health Louisville,"4000 Kresge Way Louisville, KY 40207",4000 Kresge Way,"Louisville, KY 40207",II,8,Academic Program,"Dan Stewart, MD",38.23959735700004,-85.63816045999994
104,Baptist Health Madisonville,"900 Hospital Drive Madisonville, KY 42431",900 Hospital Drive,"Madisonville, KY 42431",II,12,Private Practice,"Alex Soriano, MD",37.33940279400008,-87.49204150499997
105,Baptist Health Medical Center,"9601 Baptist Health Dr Little Rock, AR 72205",9601 Baptist Health Dr,"Little Rock, AR 72205",III,65,Private Practice,"Terrance Zuerlein, MD",NA,NA
106,Baptist Health Paducah,"2501 Kentucky Avenue Paducah, KY 42003",2501 Kentucky Avenue,"Paducah, KY 42003",III,14,Academic Program,NA,NA,NA
107,Baptist Health South Florida,"8900 N Kendall Dr Miami, FL 33176",8900 N Kendall Dr,"Miami, FL 33176",III,36,Private Practice,"Andrew B. Kairalla, MD",25.687788605000037,-80.34067846099998
108,Baptist Hospitals of Southeast Texas,"3080 College St Beaumont, TX 77701",3080 College St,"Beaumont, TX 77701",II,6,NA,NA,30.068474639000044,-94.12004247299996
109,Baptist Medical Center,"111 Dallas Street San Antonio, TX 78205",111 Dallas Street,"San Antonio, TX 78205",III,24,Private Practice,NA,29.433019330000036,-98.49258222899994
110,Baptist Medical Center – East,"400 Taylor Rd Montgomery, AL 36117",400 Taylor Rd,"Montgomery, AL 36117",III,28,Private Practice,"Meyer Dworsky, MD",32.38791347600005,-86.17614951499996
111,Baptist Medical Center – South,"2105 E South Blvd Montgomery, AL 36116",2105 E South Blvd,"Montgomery, AL 36116",III,40,Private Practice,"Meyer Dworsky, MD",NA,NA
112,Baptist Medical Center Jacksonville,"800 Prudential Dr Jacksonville, FL 32207",800 Prudential Dr,"Jacksonville, FL 32207",III,75,Network Medical Group,"Mary Lim, MD",30.316279020000025,-81.66423655699998
113,Baptist Medical Center South,"14550 Old St Augustine Rd Jacksonville, FL 32258",14550 Old St Augustine Rd,"Jacksonville, FL 32258",II,14,Academic Program,NA,30.140960179000047,-81.53176622399997
114,Baptist Memorial Hospital for Women,"6225 Humphreys Blvd Memphis, TN 38120",6225 Humphreys Blvd,"Memphis, TN 38120",III,40,Private Practice,"James (Chip) Hamlett, MD",NA,NA
115,Baptist St. Anthony Hospital,"1600 Wallace Boulevard Amarillo , TX 79106",1600 Wallace Boulevard,"Amarillo , TX 79106",III,20,Private Practice,NA,35.19487990600004,-101.91980855899999
116,Baton Rouge General,"8585 Picardy Avenue Baton Rouge, LA 70809",8585 Picardy Avenue,"Baton Rouge, LA 70809",III,18,Private Practice,"Steven Spedale, MD",30.39655278600003,-91.10448234999996
117,Baxter Regional Medical Center,"624 Hospital Dr Mountain Home, AR 72653",624 Hospital Dr,"Mountain Home, AR 72653",II,10,NA,NA,36.34298379400008,-92.39398572699997
118,Bayfront Health Spring Hill,"10461 Quality Dr Spring Hill, FL 34609",10461 Quality Dr,"Spring Hill, FL 34609",II,10,Academic Program,"Victor McKay, MD",28.436249711000073,-82.54040267199997
119,Bayfront Health St. Petersburg,"701 6th St S St. Petersburg, FL 33701",701 6th St S,"St. Petersburg, FL 33701",III,NA,Academic Program,"Victor McKay, MD",NA,NA
120,Bayhealth Hospital – Kent Campus,"640 South State Street Dover, Delaware 19901",640 South State Street,"Dover, Delaware 19901",II,15,Private Practice,"Michael Antunes, MD",39.15250440400007,-75.52232901899998
121,Baylor All Saints Hospital,"1400 8th Ave Fort Worth, TX 76104",1400 8th Ave,"Fort Worth, TX 76104",III,42,Private Practice,"Susan Sward-Communelli, MD",32.72984473100007,-97.34371603399995
122,Baylor Scott & White All Saints Medical Center – Fort Worth,"1400 8th Ave Fort Worth, TX 76104",1400 8th Ave,"Fort Worth, TX 76104",III,63,Private Practice,NA,32.72984473100007,-97.34371603399995
123,Baylor Scott & White Medical Center – College Station,"700 Scott and White Dr College Station, TX 77845",700 Scott and White Dr,"College Station, TX 77845",III,16,Academic Program,NA,NA,NA
124,Baylor Scott & White Medical Center – Irving,"1901 N MacArthur Blvd Irving, TX 75061",1901 N MacArthur Blvd,"Irving, TX 75061",II,18,Private Practice,NA,NA,NA
125,Baylor Scott & White Medical Center – Lake Pointe,"6800 Scenic Dr Rowlett, TX 75088",6800 Scenic Dr,"Rowlett, TX 75088",II,17,NA,NA,32.92318803000006,-96.50939201399996
126,Baylor Scott & White Medical Center – Lakeway,"100 Medical Pkwy Lakeway, TX 78738",100 Medical Pkwy,"Lakeway, TX 78738",II,11,NA,NA,30.33385763900003,-97.97040941099999
127,Baylor Scott & White Medical Center Waco,"100 Hillcrest Medical Blvd Waco, TX 76712",100 Hillcrest Medical Blvd,"Waco, TX 76712",III,30,NA,NA,NA,NA
128,Baylor Scott and White Medical Center Centennial,"12505 Lebanon Rd Frisco, TX 75035",12505 Lebanon Rd,"Frisco, TX 75035",II,12,Private Practice,NA,33.11589010100005,-96.77137590099994
129,Baylor Scott and White Medical Center Frisco,"5601 Warren Pkwy Frisco, TX 75034",5601 Warren Pkwy,"Frisco, TX 75034",II,NA,Private Practice,"Eduardo Perez, MD",33.106717751000076,-96.83868917099994
130,Baylor Scott and White Medical Center Grapevine,"1650 W College St Grapevine, TX 76051",1650 W College St,"Grapevine, TX 76051",III,21,Academic Program,NA,32.93559587800007,-97.09339030599995
131,Baylor University Medical Center,"3500 Gaston Ave Dallas, TX 75246",3500 Gaston Ave,"Dallas, TX 75246",III,83,Private Practice,NA,32.79054061000005,-96.78090840499999
132,Baystate Medical Center,"759 Chestnut St Springfield, MA 01199",759 Chestnut St,"Springfield, MA 01199",III,55,Hospital Employed,"Rachana Singh, MD",42.11899555000008,-72.60415193399996
133,Beaufort Memorial Hospital,"955 Ribaut Rd, Beaufort, SC 29902","955 Ribaut Rd,","Beaufort, SC 29902",II,NA,NA,NA,32.41771470200007,-80.68853370999994
134,Beaumont Hospital Dearborn,"18101 Oakwood Blvd Dearborn, MI 48124",18101 Oakwood Blvd,"Dearborn, MI 48124",III,30,Academic Program,"Derek Bair, MD",42.29254656300003,-83.21355758299995
135,Beaumont Hospital Royal Oak,"3601 W. Thirteen Mile Rd Royal Oak, MI 48073",3601 W. Thirteen Mile Rd,"Royal Oak, MI 48073",III,24,Academic Program,NA,42.51778247300007,-83.18989929299994
136,Beaumont Hospital Troy,"44201 Dequindre Rd Troy, MI 48085",44201 Dequindre Rd,"Troy, MI 48085",II,24,Academic Program,NA,42.62079036200004,-83.09130752299995
137,Bellevue Hospital Center,"462 1st Avenue New York, NY 10016",462 1st Avenue,"New York, NY 10016",III,25,Academic Program,"Elena Wachtel, MD",40.73972575100004,-73.97646114999998
138,Bellevue Medical Center,"2500 Bellevue Medical Center Drive Bellevue, NE 68123",2500 Bellevue Medical Center Drive,"Bellevue, NE 68123",II,4,Academic Program,"Ann Anderson Berry, MD",NA,NA
139,Bellin Hospital,"744 S Webster Ave Green Bay, WI 54301, USA",744 S Webster Ave,"Green Bay, WI 54301, USA",II,NA,Network Medical Group,NA,44.50213083800003,-88.01051713999999
140,Ben Taub Hospital,"1504 Ben Taub Loop Houston, TX 77030",1504 Ben Taub Loop,"Houston, TX 77030",III,20,Academic Program,"Joseph Garcia-Prats, MD",29.71240164900007,-95.39381788199995
141,Benefis Regional Medical Center,1101 26th St South Great Falls 59405,1101 26th St South,Great Falls 59405,III,26,Hospital Employed,NA,47.49223830700004,-111.26260322999997
142,Bergan Mercy Medical Center,"7500 Mercy Rd Omaha, NE 68124",7500 Mercy Rd,"Omaha, NE 68124",III,36,Academic Program,"Terence Zach, MD",41.237911634000056,-96.02909776599995
143,Berkley Medical Center,"2500 Hospital Dr, Martinsburg, WV 25401","2500 Hospital Dr,","Martinsburg, WV 25401",III,12,Academic Program,"Pete Yossuck, MD",39.47737794900007,-77.98056761999999
144,Beth Israel Deaconess Medical Center,"330 Brookline Ave Boston, MA 02215",330 Brookline Ave,"Boston, MA 02215",III,48,Employed Group,"DeWayne Pursley, MD",42.34017250000005,-71.10593183899994
145,Beth Israel Deaconess Plymouth,"275 Sandwich St Plymouth, MA 02360",275 Sandwich St,"Plymouth, MA 02360",II,6,Academic Program,"Barbara Shephard, MD",41.944345731000055,-70.64490154099997
